Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
Q9CQ91	6	Ndufa3	1.0	21.07260004220746	20.875282033344494	21.197625548680723	21.23208845269633	21.478098046082604	21.277564822675366	21.263502126766397	21.177136288662375	21.01449912976207	17.01546781663649	17.263987773783242	NA	NA	NA	NA	NA	NA
Q9CQ92	5	Fis1	1.0	20.64312740166675	20.096566551715092	20.557593411362138	20.548898964450636	20.803479002091667	21.11151030381334	21.234879709233034	21.119961180311698	21.150329754880257	16.94222175724048	16.564230774129957	NA	NA	NA	NA	NA	NA
Q9CQA3	5	Sdhb	0.9997	22.142084680880938	21.830460482846846	22.1556976742891	22.453533015998698	22.333709434506105	22.56961324523225	22.49282493068147	22.06550938681164	22.199833901251324	17.33147463672877	16.93279683103836	NA	NA	NA	NA	NA	NA
Q9CQC7	10	Ndufb4	1.0	21.987668606651358	21.712573729840337	22.09476622956217	22.394440276640697	22.389631243719208	22.46569946461402	22.56994925357822	22.309738426406774	22.07957623054443	18.02095769633466	17.896190450150062	NA	NA	NA	NA	NA	NA
Q9CQD1	5	Rab5a	1.0	20.523891950981117	20.284599791485793	20.517692162408476	21.09047886571218	20.916237350933322	20.828556120467876	20.942867516639286	20.69593744557556	20.78693444188929	16.195745113882147	16.61460368566082	NA	NA	NA	18.195892092279028	NA	NA
Q9CQE8	1	RTRAF	0.9996	15.316616108831827	15.261054703566503	15.499077568434245	16.049406331467083	15.786635476832034	15.505934737731849	15.632249416877226	15.638518621260271	15.483134610624564	10.82780313329971	11.114715662286846	NA	NA	NA	NA	NA	NA
Q9CQH3	6	Ndufb5	1.0	22.37828710548506	22.244508923931384	22.38520792238784	22.862161265678377	22.682645920050945	22.586865345776864	22.484547259859042	22.346711271129166	22.323478283768722	17.957987173006966	17.49594634839379	NA	NA	NA	NA	NA	NA
Q9CQI3	2	Gmfb	0.9996	17.714197868006273	17.48944828279488	17.777999482075376	18.182992098609567	18.119240673224155	18.24171681232594	18.1497607009073	18.00640606489472	18.048350082552634	13.025334976513744	13.207791061400574	NA	NA	NA	NA	NA	NA
Q9CQI6	8	Cotl1	0.9999	21.28158496651912	21.215397046641346	21.1726029431165	21.53815700405127	21.438138602766653	21.716966235143126	21.64272306545749	21.43317411314219	21.723776881248362	16.635611555538908	16.53347476606554	NA	NA	NA	NA	NA	NA
Q9CQJ8	16	Ndufb9	1.0	20.695475508302316	20.34575507459387	20.72875155139525	21.19206256534504	21.168593311913465	20.999819260206785	20.913504427508702	21.004089192077352	21.075071589055742	16.632277057943334	16.653705215733762	NA	NA	NA	NA	NA	NA
